Date,Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
2025-07-07,EL VALLE DETENTION FACILITY,1800 INDUSTRIAL DRIVE,RAYMONDVILLE,TX,78580,HLG,DIGSA,Female/Male,32.023531,623.254480,50.057348,66.587814,46.107527,136.376344,263.781362,22.634409,363.215054,36.383513,19.498208,22.885305,707.240143,511.437276,600,ODO,3/6/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,NJ,07201,NEW,CDF,Female/Male,16.839630,102.000000,146.670251,20.379928,8.132616,61.010753,198.612903,1.960573,15.598566,5.139785,8.279570,13.308244,250.455197,177.218638,285,ODO,12/5/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,TX,79925,ELP,SPC,Female/Male,21.580597,311.021505,167.161290,156.630824,85.745520,271.121864,253.888889,56.602151,138.946237,79.168459,58.448029,78.813620,504.129032,580.874552,450,ODO,2/13/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,EL PASO SOFT SIDED FACILITY,12501 GATEWAY BLVD S,EL PASO,TX,79934,ELP,STAGING,,3.916963,59.767025,21.118280,19.189964,9.910394,32.609319,69.268817,1.397849,6.709677,8.028674,8.207885,9.516129,84.232975,91.164875,,,,,,
2025-07-07,ERIE COUNTY JAIL,DEPARTMENT OF CORRECTIONS 1618 ASH STREET,ERIE,PA,16503,PHI,USMS IGA,Female/Male,7.379710,4.168459,1.942652,1.293907,0.709677,1.831541,6.107527,0.000000,0.175627,0.000000,0.046595,0.025090,8.043011,4.648746,,ORSA,3/20/2024,,ORSA NDS 2019,Pass
2025-07-07,ETOWAH COUNTY JAIL (ALABAMA),827 FORREST AVENUE,GADSDEN,AL,35901,NOL,USMS IGA,Male,4.600486,9.347670,4.616487,5.609319,2.358423,8.609319,10.422939,1.010753,1.888889,0.268817,0.186380,0.172043,21.304659,16.964158,,ODO,,,NDS 2000,Pass
2025-07-07,FAYETTE COUNTY DETENTION CENTER,600 OLD FRANKFORD CR,LEXINGTON,KY,40510,CHI,USMS IGA,Female/Male,1.551181,0.132616,0.200717,0.344086,0.483871,0.709677,0.408602,0.010753,0.032258,0.039427,0.003584,0.003584,1.114695,0.899642,,ODO,9/12/2024,,NDS 2019,Pass
2025-07-07,FOLKSTON ANNEX IPC,3424 HIGHWAY 252 EAST,FOLKSTON,GA,31537,ATL,DIGSA,Male,42.772515,172.405018,36.293907,38.426523,13.473118,64.168459,196.290323,0.000000,0.139785,8.068100,5.129032,7.168459,240.232975,192.688172,338,ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,FOLKSTON MAIN IPC,3026 HWY 252 EAST,FOLKSTON,GA,31537,ATL,DIGSA,Male,41.644839,316.874552,145.358423,91.992832,44.286738,169.301075,428.860215,0.200717,0.150538,14.107527,11.362007,19.186380,553.856631,445.594982,544,ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85132,PHO,SPC,Male,13.308209,282.139785,71.301075,3.232975,2.200717,84.648746,273.888889,0.078853,0.258065,1.584229,4.906810,26.010753,326.372760,219.258065,392,ODO,2/13/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,FLOYD COUNTY JAIL,2526 NEW CALHOUN HWY,ROME,GA,30161,ATL,USMS IGA,Female/Male,2.143791,0.286738,0.870968,0.157706,0.078853,0.462366,0.677419,0.053763,0.200717,0.000000,0.000000,0.078853,1.315412,0.727599,,,,,,
2025-07-07,FREEBORN COUNTY ADULT DETENTION CENTER,411 SOUTH BROADWAY AVENUE,ALBERT LEA,MN,56007,SPM,IGSA,Male,42.889109,13.706093,12.724014,37.906810,11.713262,43.290323,32.759857,0.000000,0.000000,10.275986,3.283154,3.114695,59.376344,63.376344,,ODO,3/6/2025,,NDS 2019,Pass
