facility_name,measured_on,level_a,level_b,level_c,level_d,male_crim,male_non_crim,female_crim,female_non_crim,ice_threat_level_1,ice_threat_level_2,ice_threat_level_3,no_ice_threat_level
SOUTH TEXAS ICE PROCESSING CENTER,2025-03-31,1212.237110999999,181.55731299999985,197.97942000000018,93.2088510000002,418.534483000001,1158.4119479999997,36.08112700000002,71.95514900000002,90.77916899999984,86.058621,233.912231,1274.232661999999
SOUTH TEXAS ICE PROCESSING CENTER,2025-04-14,1156.8081910000017,186.23625699999997,211.90033200000002,93.33270699999996,428.59108699999916,1146.5271500000006,31.04383100000002,42.11541900000001,84.02113699999998,74.92200099999991,136.00687700000032,1353.3274719999984
SOUTH TEXAS ICE PROCESSING CENTER,2025-04-28,1083.1927339999986,187.76442700000007,230.47347600000026,101.57043200000005,472.74154500000026,1076.571369999999,32.258052000000006,21.430117000000013,109.35322900000028,92.07598400000006,251.7284510000001,1149.8434050000008
SOUTH TEXAS ICE PROCESSING CENTER,2025-05-12,1099.2402839999995,195.25587900000002,243.43646399999957,110.1624939999999,485.79642499999943,1107.539988,31.535074000000026,23.223635000000026,140.1160649999999,81.23237799999995,251.1795929999997,1175.5671010000017
SOUTH TEXAS ICE PROCESSING CENTER,2025-05-27,1058.3614335333345,226.41798853333336,258.8597541999998,124.87097479999987,500.4394336666679,1104.0596155333333,36.250531533333316,27.760523533333313,103.8089072666667,84.69704079999987,168.40363199999993,1311.6005241999985
SOUTH TEXAS ICE PROCESSING CENTER,2025-06-09,1033.7724074615398,257.9582384615387,297.6154433076926,131.7473573846157,553.8750263846148,1095.0400002307679,37.82038699999997,34.35805038461534,124.22513253846158,111.7497473846155,280.697280923077,1204.4213031538484
ST. CLAIR COUNTY JAIL,2025-01-06,48.123711,12.278351,7.195876,4,20.350515,51.247423,0,0,5.010309,6.505155,4.742268,55.340206
ST. CLAIR COUNTY JAIL,2025-01-21,55.267488133333366,12.953706799999994,17.41201013333333,5.145066666666666,27.232101999999987,63.54616973333341,0,0,9.15131453333333,9.208453999999998,12.107849066666665,60.31065413333332
ST. CLAIR COUNTY JAIL,2025-02-18,45.75994021428567,12.996744178571427,11.743202642857145,4.681470107142857,23.78329735714286,51.398059785714295,0,0,7.164232535714286,7.692732535714291,3.2453039642857107,57.07908307142858
ST. CLAIR COUNTY JAIL,2025-03-03,34.98975061538469,-9.605029461538448,22.703158769230747,15.689617307692314,22.07896723076923,41.698541846153745,0,0,3.4457500769230784,-24.20279484615385,6.701877153846165,77.83268753846158
ST. CLAIR COUNTY JAIL,2025-03-17,35.357594,13.804630999999988,9.710621000000012,5.932801999999997,14.671909999999993,50.133727000000036,0,0,-2.117808999999998,-4.050251000000003,-9.660798999999997,80.63449599999993
ST. CLAIR COUNTY JAIL,2025-03-31,34.57852000000009,17.96744000000003,8.921135000000017,6.291264000000004,12.667408000000023,55.090951000000004,0,0,-0.3868690000000064,4.791777000000001,0.623749999999997,62.72971400000006
ST. CLAIR COUNTY JAIL,2025-04-14,27.336483999999864,17.10033199999998,8.204242999999988,6.649439999999994,13.176721999999959,46.11377699999996,0,0,3.4943150000000043,4.288330999999995,4.288036000000001,47.219803999999904
ST. CLAIR COUNTY JAIL,2025-04-28,27.27705100000003,19.464865999999997,8.205599000000007,7.653342000000001,20.93293500000001,41.66792299999997,0,0,5.3611100000000045,-0.08999900000000187,6.727901999999996,50.60183
ST. CLAIR COUNTY JAIL,2025-05-12,24.345388999999937,15.155393999999985,9.067666999999997,6.719285999999995,23.013115000000067,32.27463700000005,0,0,11.100516000000002,6.226239000000005,-0.018184000000003055,37.979195999999966
ST. CLAIR COUNTY JAIL,2025-05-27,33.43160200000008,17.55437120000003,8.5947254,4.997192400000009,23.07845766666663,41.49943433333331,0,0,4.732257733333321,10.160291666666671,-1.8235442666666661,51.5088868666667
ST. CLAIR COUNTY JAIL,2025-06-09,38.295830923076906,14.85414553846151,6.988931000000006,4.997503846153852,21.774532846153868,43.36187946153852,0,0,-2.4139469230769044,6.934227153846144,5.469553846153845,55.146558846153944
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-03-17,0.071856,1.113772,0.742515,0.215569,1.011976,0.982036,0,0.149701,0.39521,0.245509,0.137725,1.365269
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-03-31,1.7951879999999998,16.944132,12.995899,1.9380299999999997,15.580049,16.082966000000003,0.287287,1.722922,5.169083,3.661623,4.955031,19.887487000000004
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-04-14,4.7374100000000015,18.51111,14.063154999999995,1.0033500000000006,17.291629,18.942861999999995,1.005025,1.075536,0.2114750000000011,-0.2897829999999999,8.756373000000002,29.636972999999994
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-04-28,5.739099999999999,24.959394,12.762826000000002,2.151222,13.620975000000003,28.907445000000013,0.43018300000000004,2.6539399999999995,5.164007,1.5050169999999992,-3.306684000000002,42.250202
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-05-12,3.870510000000002,30.18422800000001,15.052691999999995,6.81385,14.116995,35.85179899999998,0.7887209999999999,5.163749999999999,2.004386999999998,-0.5763249999999991,1.431364000000002,53.061838
STE. GENEVIEVE COUNTY SHERIFF/JAIL,2025-05-27,9.301141866666663,30.433480533333327,14.376801133333341,4.548572400000002,11.094059799999991,43.21832033333337,1.2713283333333336,3.0762874666666677,-8.238992399999999,-2.679769533333334,-0.472168000000003,70.05094080000002
